fontecontato,ranking,score,idusuarioinclusao,idinterno,tipopessoa,cnpjcpf
ERP,1,1.0,1187,845367,Jurídica,15504318000187
Ações de Marketing (Feira),0,,1328,912635,Jurídica,86046448000161
ERP,0,,1187,844896,Jurídica,73345415000170
ERP,1,1.0,1187,842031,Jurídica,05892834000172
ERP,1,1.0,1187,845052,Jurídica,09283486000197
Ações de Marketing (Internet/Site),0,,1331,3125529,Jurídica,29584669000150
Indicação,0,,1328,916420,Jurídica,81472243000124
Ações de Marketing (Feira),0,,1328,901061,Jurídica,02421787000190
ERP,1,1.0,1187,844652,Jurídica,07116752000161
Indicação,0,,1328,1231811,Jurídica,08457431000193
Ações de Marketing (Feira),0,,1328,912731,Jurídica,02527858000134
ERP,1,1.0,1187,842921,Jurídica,00857638000143
ERP,0,,1187,845179,Jurídica,20070100000100
Ações de Marketing (Internet/Site),0,,1328,953093,Jurídica,19108559000168
Indicação,0,,1328,1262047,Jurídica,08088978000169
ERP,1,1.0,1187,843372,Jurídica,03640165000116
ERP,1,1.0,1187,845100,Jurídica,09150589000189
ERP,1,1.0,1187,843270,Jurídica,07332445000118
ERP,1,1.0,1187,845051,Jurídica,62032180000655
Ações de Marketing (Feira),0,,1328,900826,Jurídica,11191242000126
Indicação,0,,1328,1272052,Jurídica,15203120000163
Indicação,0,,1350,1194267,Jurídica,04383583000138
Indicação,0,,1350,1203259,Jurídica,54898614000161
ERP,1,1.0,1187,844169,Jurídica,04361925000119
ERP,1,1.0,1187,842972,Jurídica,03325092000178
ERP,1,1.0,1187,842649,Jurídica,08781470000141
ERP,1,1.0,1187,844996,Jurídica,05687713000199
Ações de Marketing (Internet/Site),0,,1328,1184547,Jurídica,06972634000192
ERP,1,1.0,1187,1281295,Jurídica,06138262000101
ERP,1,1.0,1187,842055,Jurídica,80938434000176
ERP,1,1.0,1187,844388,Jurídica,03239026000185
Indicação,0,,1328,1271554,Jurídica,91476952000131
ERP,1,1.0,1187,843240,Jurídica,13064927000137
ERP,1,1.0,1187,844543,Jurídica,10570035000110
ERP,1,1.0,1187,841642,Jurídica,91068825000101
ERP,1,1.0,1187,843329,Jurídica,09626197000143
ERP,0,,1187,842801,Jurídica,58088204000106
Indicação,0,,1328,918335,Jurídica,82608100000160
ERP,1,1.0,1187,844134,Jurídica,86379567000136
ERP,1,1.0,1187,843548,Jurídica,21063839000149
Ações de Marketing (Feira),0,,1328,912795,Jurídica,22402177000157
Indicação,0,,1328,914527,Jurídica,02426590000144
Ações de Marketing (Feira),0,,1328,912624,Jurídica,05311117000100
Ações de Marketing (Internet/Site),0,,1328,1231467,Jurídica,02255109000103
Indicação,0,,1328,918340,Jurídica,09310998000103
ERP,1,1.0,1328,909313,Jurídica,86375912000163
Ações de Marketing (Feira),0,,1328,914020,Jurídica,01287588000926
Indicação,0,,1328,914572,Jurídica,03799724000135
Ações de Marketing (Feira),0,,1328,912788,Jurídica,05301518000189
Indicação,0,,1328,1271932,Jurídica,20660319000150
ERP,1,1.0,1187,1398551,Jurídica,21613041000123
ERP,1,1.0,1187,842902,Jurídica,92284769000105
Ações de Marketing (Feira),0,,1331,1404393,Jurídica,
Ligação / Visita Receptiva/ Cliente Contatou,0,,1331,1405038,Jurídica,
Prospecção Ativa- Vendas Internas,0,,1331,1404396,Jurídica,34249981000127
ERP,0,,1187,841883,Jurídica,61593653000116
ERP,0,,1187,843796,Jurídica,02927591000172
Indicação,0,,1331,1294682,Jurídica,79166807000159
Indicação,0,,1328,1278277,Jurídica,04971641000144
ERP,0,,1187,1262049,Jurídica,02513526000109
ERP,1,1.0,1187,844333,Jurídica,19062870000113
Indicação,0,,1328,1399602,Jurídica,10371218000106
Ações de Marketing (Feira),0,,1328,914187,Jurídica,97548587000100
ERP,1,1.0,1187,841605,Jurídica,87286936000109
Ligação / Visita Receptiva/ Cliente Contatou,1,,1350,1223673,Jurídica,
ERP,0,,1187,845301,Jurídica,15065195000125
ERP,1,1.0,1187,843576,Jurídica,11283620000100
ERP,1,1.0,1187,845212,Jurídica,10493517000113
ERP,0,,1187,844943,Jurídica,02789867000101
Indicação,0,,1328,1280328,Filial,11416589000120
Indicação,0,,1328,921140,Jurídica,22900370000118
Ações de Marketing (Feira),0,,1188,1404266,Jurídica,04745211000104
Indicação,0,,1328,1315440,Jurídica,92752468000150
ERP,0,,1187,852930,Jurídica,08437996000109
